yk	10
kq	45
ka	31
fi	87
ro	41
kr	95
ql	37
xf	97
gw	75
fe	61
oz	33
ay	67
vl	64
fg	33
ud	21
kg	10
ff	32
zu	26
ke	34
de	91
ba	34
tw	52
bp	33
jh	96
qj	17
zk	93
pm	27
ds	94
xg	57
me	32
uf	95
gr	96
zj	12
ls	35
pc	19
nl	63
sv	36
sy	71
zd	40
sn	61
jy	86
tx	81
zp	80
lz	75
xn	75
fk	57
ho	29
pn	79
ox	14
vz	50
td	43
iu	54
bh	72
eq	63
kb	58
ew	53
gt	33
al	19
mo	63
rz	19
tt	66
cv	51
jp	37
lz	49
cu	25
tw	36
pm	48
sc	36
cs	66
fa	79
cf	45
bh	42
ev	90
xl	89
fz	23
dd	70
wj	53
uf	84
ut	23
ef	88
pi	46
wy	81
yy	81
tm	47
uq	91
sj	97
eq	53
pv	36
ob	11
ew	32
oe	15
hg	57
nk	24
nq	86
ks	86
ci	63
dw	35
jp	62
in	24
jb	57
dc	86
hb	89
wq	60
nf	14
yq	35
yj	49
yh	25
ux	57
ul	19
wy	16
ub	36
ij	23
jy	52
ce	37
ux	66
mq	40
gn	69
td	66
gl	58
jk	65
cd	35
xh	44
oq	81
wg	54
tj	96
vw	22
wx	22
fi	57
fu	53
jv	27
qw	19
st	77
fj	68
vu	27
pi	42
xr	30
bg	78
va	94
it	37
tr	23
pt	35
uz	80
fk	19
zz	36
bf	93
lz	71
jk	96
iw	48
si	88
hc	78
az	62
wl	93
ro	53
wt	25
jz	27
xv	75
xb	23
mx	31
nl	13
iz	91
ep	61
ab	48
zm	33
ts	51
kr	69
wy	20
ul	79
it	82
pd	71
nd	32
xc	47
ro	82
kk	77
cn	73
ah	10
py	16
eo	25
hl	86
jq	27
qf	40
tw	34
ke	17
vs	95
ui	97
xc	71
of	58
rc	90
de	65
ie	29
tb	60
vd	90
hq	34
rj	48
zt	59
vg	35
yd	97
hz	95
ef	74
jf	30
ys	34
bw	16
qq	63
gj	56
fl	38
fo	14
nf	77
ne	52
pm	46
hc	58
ma	45
kc	72
sk	96
xu	24
ud	99
lh	51
gf	40
sp	76
ee	29
ag	92
hz	65
sv	81
zf	63
wn	41
wh	65
sn	59
hw	20
vu	83
gq	15
vm	11
cl	41
ui	91
ly	25
zp	96
gg	75
cg	90
ud	64
sl	91
sq	75
ap	96
tp	65
yf	69
sb	30
tf	79
uc	67
lf	84
lq	15
yz	47
ow	37
zv	66
xt	93
ke	10
jc	74
ji	64
uw	75
cb	68
bb	27
hx	78
tx	66
ih	56
en	58
lg	26
gu	99
la	61
ty	40
fh	25
mn	62
bb	21
hp	71
ju	57
ix	22
gn	53
lg	64
eg	87
zq	64
dk	57
bc	11
sq	97
xx	30
mh	32
wt	96
ho	47
vp	16
ha	11
se	37
ge	50
mg	64
fc	58
iw	44
ov	38
qq	69
wk	51
ik	69
nt	51
zd	24
ek	64
ix	68
zl	89
qu	68
gg	93
gq	53
uq	80
ay	80
ch	35
sj	37
ll	65
ja	70
ey	68
rp	74
js	13
cw	58
no	31
ou	72
nl	43
vn	54
ck	56
mg	37
lb	94
vr	56
sj	28
tx	14
pg	55
qc	10
qi	51
ky	38
ua	24
xr	26
in	77
ls	60
ic	43
vg	28
pv	69
nv	92
ne	24
jv	65
lu	96
zl	14
io	81
kd	51
tb	13
rf	36
pz	71
ua	19
im	90
ic	45
jr	96
hz	66
qg	50
yu	11
gp	11
qa	69
xw	76
kt	88
va	97
iz	87
oo	34
en	30
yn	81
pe	12
cm	89
eq	68
ym	84
of	86
qm	79
kn	63
vq	17
es	92
qd	28
or	57
bb	69
cy	51
ev	36
xw	97
je	19
ya	84
my	41
rv	62
qz	99
gb	34
vw	39
st	29
sl	35
um	90
lm	29
wu	26
hs	44
hw	73
zp	79
oe	42
kp	49
az	89
wf	69
hm	23
qa	86
xi	14
bq	59
kb	58
vn	40
qo	29
ok	62
xk	28
di	22
au	79
dx	95
hr	56
my	52
xe	48
uo	82
zq	22
av	55
bz	76
df	55
ok	20
wb	69
kk	57
pi	48
xt	66
au	31
kt	90
ya	32
bc	91
zc	86
bw	86
xs	40
rv	96
xq	91
wm	17
tr	61
fv	76
sw	85
rs	55
qo	56
sw	99
gz	84
oz	53
bu	70
em	38
fh	38
uz	87
yz	96
nk	76
yt	14
wf	42
hw	21
yg	44
lo	72
bx	16
pz	58
je	29
qk	99
pv	36
dg	51
cr	54
rs	12
lc	48
ds	42
si	89
dd	12
em	19
me	83
ug	52
jy	78
zu	13
es	42
oi	23
st	99
rs	56
vm	85
sn	77
bg	88
sg	41
ik	88
ii	98
kb	98
hb	90
sp	52
yf	50
xg	62
vk	41
nd	68
ki	33
lr	72
qp	90
rt	95
mz	78
tu	81
fq	62
im	88
ow	61
ed	13
oi	49
yc	44
vt	23
ua	23
ue	60
za	28
ak	69
rl	68
po	69
oj	30
bl	57
nc	48
fl	80
hx	23
qj	61
mv	50
go	33
dx	74
sx	29
jn	39
hq	21
qo	24
xe	64
dm	56
og	77
tu	50
cj	14
yk	44
fj	98
tv	25
ay	56
sx	27
jt	72
if	96
fk	22
ba	46
kk	79
tb	50
dg	37
bp	85
ov	13
vl	56
dh	63
hq	68
yy	67
ru	63
bz	61
cb	77
nd	56
ks	43
vy	73
zc	15
wj	55
vv	43
jn	11
ya	65
yx	38
ec	97
ql	43
ls	96
ix	42
zb	22
yn	64
zn	22
aw	44
sb	50
ib	71
cx	90
dg	70
bx	52
ku	58
sz	94
in	56
fo	61
ha	61
pm	40
hp	29
ef	82
rt	11
lg	45
pt	23
mj	24
xa	28
yc	40
oy	73
oq	51
yr	16
mm	36
wp	39
jr	43
xi	61
rx	69
tz	74
qm	96
pw	68
eg	62
lb	78
lj	63
ja	92
tr	92
fa	85
mu	54
ur	23
vn	32
ik	86
tu	75
xe	24
nv	41
vy	71
uy	45
lq	66
vy	84
zz	10
tg	44
gu	47
pb	50
hd	95
sj	35
db	12
ax	34
en	25
hr	74
ni	30
an	11
gm	49
kr	45
zy	68
ok	91
cv	61
bb	94
vg	21
jb	24
he	49
sk	69
ih	86
nc	19
so	70
yf	88
ph	30
pc	71
fq	50
mo	55
im	27
eq	51
qn	36
tw	61
hz	30
qn	24
db	28
xc	61
ke	78
tr	16
gk	68
xc	91
zw	20
ai	82
eo	24
kn	96
uo	31
re	13
va	82
gg	20
yd	10
fn	27
tv	52
ky	90
hh	71
lx	51
ps	12
gr	18
hw	58
pf	46
js	54
uz	98
kb	16
vz	15
it	39
fg	76
fm	60
ix	64
jk	63
hl	52
pe	82
hm	94
pr	75
tw	41
nv	53
cy	94
pz	54
wp	44
le	77
mr	22
mr	46
cw	16
js	84
gt	22
pn	12
cr	47
ea	80
zr	39
gy	22
sc	36
td	96
hn	55
ej	71
cl	48
nu	51
jz	83
bt	52
cx	13
px	91
aq	24
eu	12
dp	42
lk	56
ns	78
jz	12
fu	70
go	63
vg	86
jm	67
co	41
bi	30
zb	64
hj	60
ld	88
ja	45
bh	76
rt	57
ox	17
rr	21
